Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Course_delivery_mode,Free_TAFE,Remarks
VOC,North Metropolitan TAFE,Joondalup,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
VOC,North Metropolitan TAFE,Perth,FNS40217 Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,,"3,090",AUD,year,1,Year,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,D,This course provides an insight into the issues and processes of accounting for an organisation and prepares you for work as a payroll clerk or bookkeeper. You'll learn to record and create summaries of financial transactions of an organisation for management purposes. This course also prepares you for entry into the Diploma of Accounting. Keen to get started? We offer this course on campus and online. I have the following attributes:,Accounting Clerk | Accounts Clerk | Accounts Payable Clerk | Accounts Officer | Accounts Receivable Clerk | Audit Clerk | Payroll Clerk | Payroll Officer | Bookkeeper | Financial Administration Officer,Australia,no,yes,no,yes,no,Traineeship / Normal / Online,no,
VOC,North Metropolitan TAFE,Joondalup,FNS30317 Certificate III in Accounts Administration,Business & Commerce & Finance & Accounting,,"2,391",AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-accounts-administration,English,D,"This qualification will introduce you to a career in accounting. You'll gain essential accounting skills and terminology to help you manage finances for an organisation. It is particularly suited to anyone who has just completed school, is contemplating a career change or re-entering the workforce. If you have an eye for figures, can think on your feet, and enjoy working with others, then this is an excellent qualification to launch you towards a highly successful and rewarding career.  I have the following attributes:",Accounts Officer | Cost Clerk | Accounts Clerk | Payroll Officer,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Perth,FNS30317 Certificate III in Accounts Administration,Business & Commerce & Finance & Accounting,,"2,391",AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-accounts-administration,English,D,"This qualification will introduce you to a career in accounting. You'll gain essential accounting skills and terminology to help you manage finances for an organisation. It is particularly suited to anyone who has just completed school, is contemplating a career change or re-entering the workforce. If you have an eye for figures, can think on your feet, and enjoy working with others, then this is an excellent qualification to launch you towards a highly successful and rewarding career.  I have the following attributes:",Accounts Officer | Cost Clerk | Accounts Clerk | Payroll Officer,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Joondalup,FNS30317 Certificate III in Accounts Administration,Business & Commerce & Finance & Accounting,,"2,391",AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-accounts-administration,English,D,"This qualification will introduce you to a career in accounting. You'll gain essential accounting skills and terminology to help you manage finances for an organisation. It is particularly suited to anyone who has just completed school, is contemplating a career change or re-entering the workforce. If you have an eye for figures, can think on your feet, and enjoy working with others, then this is an excellent qualification to launch you towards a highly successful and rewarding career.  I have the following attributes:",Accounts Officer | Cost Clerk | Accounts Clerk | Payroll Officer,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Perth,FNS30317 Certificate III in Accounts Administration,Business & Commerce & Finance & Accounting,,"2,391",AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-accounts-administration,English,D,"This qualification will introduce you to a career in accounting. You'll gain essential accounting skills and terminology to help you manage finances for an organisation. It is particularly suited to anyone who has just completed school, is contemplating a career change or re-entering the workforce. If you have an eye for figures, can think on your feet, and enjoy working with others, then this is an excellent qualification to launch you towards a highly successful and rewarding career.  I have the following attributes:",Accounts Officer | Cost Clerk | Accounts Clerk | Payroll Officer,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Midland,CHC43215 Certificate IV in Alcohol and Other Drugs,Science and Health Science,,1200.00,AUD,year,6,Months,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-alcohol-and-other-drugs,English,D," This qualification is part of the Lower fees, local skills program where you'll pay only half of the standard course fees. This qualification focuses on providing assessment and support to clients with alcohol and drug issues. You will learn about interviewing in the initial client assessment, responding to crisis, working with people with mental health concerns, and providing alcohol and other drugs (AOD) interventions. I have the following attributes: With online study you will be completing your course via an online platform which contains all your study material and assessments. You will be provided a login and password to access this material once you have been enrolled at North Metropolitan TAFE.  Online is a little different to on-campus study as you do not have face to face contact with your lecturers and you do not engage directly with fellow students during every-day class activities. If on-campus study is not your preference, then online study is a great option. Rest assured you will be supported by your online lecturers.
			You will also have access to lecturers via your online dashboard. The lecturers will help to clarify your concerns, assist with the course content, mark your assessments and provide you with feedback if required Qualifications are broken down into stages with an intensive practical skills workshop run at the end of each stage. You will only need to enrol and pay for one stage at a time. A Work Placement is compulsory for students undertaking a Certificate IV or Diploma as some units in these qualifications require you to demonstrate your skills in a work place setting. These units will be highlighted on your study plan. Employer-based training offers a flexible, self-paced study program which combines workplace recognition of prior learning and individualised ‘gap’ training to attain your qualification. This means every time you go to work you are learning and demonstrating competence whilst working towards your qualification. The flexibility of Employer-based training allows you to structure and perform learning and assessment in a way that fits into your professional and personal life. Learning and assessment plans are created on an individual level in consultation with you and/or your employer. Assessment is conducted using numerous methods including practical demonstration and observation, question and answer interviews, written tasks, supervisor reports and workshops.",Welfare Support Worker | Community Worker,Australia,yes,no,no,no,no,Normal / Online,no,
VOC,North Metropolitan TAFE,Midland,CHC43215 Certificate IV in Alcohol and Other Drugs,Science and Health Science,,1200.00,AUD,year,6,Months,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-alcohol-and-other-drugs,English,D," This qualification is part of the Lower fees, local skills program where you'll pay only half of the standard course fees. This qualification focuses on providing assessment and support to clients with alcohol and drug issues. You will learn about interviewing in the initial client assessment, responding to crisis, working with people with mental health concerns, and providing alcohol and other drugs (AOD) interventions. I have the following attributes: With online study you will be completing your course via an online platform which contains all your study material and assessments. You will be provided a login and password to access this material once you have been enrolled at North Metropolitan TAFE.  Online is a little different to on-campus study as you do not have face to face contact with your lecturers and you do not engage directly with fellow students during every-day class activities. If on-campus study is not your preference, then online study is a great option. Rest assured you will be supported by your online lecturers.
			You will also have access to lecturers via your online dashboard. The lecturers will help to clarify your concerns, assist with the course content, mark your assessments and provide you with feedback if required Qualifications are broken down into stages with an intensive practical skills workshop run at the end of each stage. You will only need to enrol and pay for one stage at a time. A Work Placement is compulsory for students undertaking a Certificate IV or Diploma as some units in these qualifications require you to demonstrate your skills in a work place setting. These units will be highlighted on your study plan. Employer-based training offers a flexible, self-paced study program which combines workplace recognition of prior learning and individualised ‘gap’ training to attain your qualification. This means every time you go to work you are learning and demonstrating competence whilst working towards your qualification. The flexibility of Employer-based training allows you to structure and perform learning and assessment in a way that fits into your professional and personal life. Learning and assessment plans are created on an individual level in consultation with you and/or your employer. Assessment is conducted using numerous methods including practical demonstration and observation, question and answer interviews, written tasks, supervisor reports and workshops.",Welfare Support Worker | Community Worker,Australia,yes,no,no,no,no,Normal / Online,no,
VOC,North Metropolitan TAFE,Joondalup,HLT33015 Certificate III in Allied Health Assistance,English,,770.00,AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-allied-health-assistance,English,D," This qualification is part of the Lower fees, local skills program where you'll pay only half of the standard course fees. Gain the skills to assist allied health professionals (physiotherapists, occupational therapists and speech pathologists) with the implementation of maintenance therapy programs to improve a client's quality of life. During this course you'll learn how to work with children, adults and older people with a range of physical disabilities, mental health conditions, developmental delays, communication difficulties and/or social disadvantage. You will have access to a team of allied health professionals who are able to share their experiences and support your learning throughout the course. Online learning makes up part of the course delivery and access to online resources to reinforce classroom learning is also provided. You will be supported in learning the required knowledge and skills through classroom discussions and simulation activities before undertaking a full-time work placement. As a successful graduate you'll have a wide range of job options depending on where your passions lie and you may gain employment in both public and private health settings such as hospitals, aged care facilities, schools, mental health clinics, private practices and not for profit organisations. I have the following attributes:",Therapy Aide | Therapist Assistant,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Mount Lawley,HLT33015 Certificate III in Allied Health Assistance,English,,770.00,AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-allied-health-assistance,English,D," This qualification is part of the Lower fees, local skills program where you'll pay only half of the standard course fees. Gain the skills to assist allied health professionals (physiotherapists, occupational therapists and speech pathologists) with the implementation of maintenance therapy programs to improve a client's quality of life. During this course you'll learn how to work with children, adults and older people with a range of physical disabilities, mental health conditions, developmental delays, communication difficulties and/or social disadvantage. You will have access to a team of allied health professionals who are able to share their experiences and support your learning throughout the course. Online learning makes up part of the course delivery and access to online resources to reinforce classroom learning is also provided. You will be supported in learning the required knowledge and skills through classroom discussions and simulation activities before undertaking a full-time work placement. As a successful graduate you'll have a wide range of job options depending on where your passions lie and you may gain employment in both public and private health settings such as hospitals, aged care facilities, schools, mental health clinics, private practices and not for profit organisations. I have the following attributes:",Therapy Aide | Therapist Assistant,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Mount Lawley,HLT33015 Certificate III in Allied Health Assistance,English,,770.00,AUD,year,6,Months,yes,yes,OLNA or NAPLAN 9 Band 8,year 10,,9,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iii-allied-health-assistance,English,D," This qualification is part of the Lower fees, local skills program where you'll pay only half of the standard course fees. Gain the skills to assist allied health professionals (physiotherapists, occupational therapists and speech pathologists) with the implementation of maintenance therapy programs to improve a client's quality of life. During this course you'll learn how to work with children, adults and older people with a range of physical disabilities, mental health conditions, developmental delays, communication difficulties and/or social disadvantage. You will have access to a team of allied health professionals who are able to share their experiences and support your learning throughout the course. Online learning makes up part of the course delivery and access to online resources to reinforce classroom learning is also provided. You will be supported in learning the required knowledge and skills through classroom discussions and simulation activities before undertaking a full-time work placement. As a successful graduate you'll have a wide range of job options depending on where your passions lie and you may gain employment in both public and private health settings such as hospitals, aged care facilities, schools, mental health clinics, private practices and not for profit organisations. I have the following attributes:",Therapy Aide | Therapist Assistant,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Mount Lawley,HLT43015 Certificate IV in Allied Health Assistance,English,,,AUD,year,6,Months,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-allied-health-assistance,English,D,"Our Mt Lawley campus will be offering the generic range of units to provide you with the skills necessary to seek employment as as an allied health assistant (AHA).
	If you are seeking a specialised focus on physiotherapy, this will be offered at our McLarty campus. You may find employment in both public and private health settings such as hospitals and community rehabilitation, aged care facilities, schools, mental health clinics, private practices and not for profit organisations. You will learn how to work with children, adults and older people with a range of physical disabilities, mental health conditions, developmental delays, communication difficulties and/or social disadvantage, all done with the knowledge of safe work practices, legal and ethical considerations and current industry standards. You will gain the required knowledge and skills through classroom discussions, simulation activities and workplace learning. Then you will undertake six weeks of full-time placement which North Metropolitan TAFE organises for you via our range of industry partners. Online learning makes up a small part of the course delivery but you will also have access to online resources to reinforce classroom learning. You will have access to a team of allied health professionals who are able to share their experiences and support your learning throughout the course. Some students have gone on to study allied health degrees at university after this course has ignited their passion. I have the following attributes:",Therapy Assistant,Australia,no,yes,no,yes,no,Normal,no,
VOC,North Metropolitan TAFE,Joondalup,HLT43015 Certificate IV in Allied Health Assistance - Physiotherapy,English,,,AUD,year,6,Months,yes,yes,year 11,year 11,,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/certificate-iv-allied-health-assistance-physiotherapy,English,D,"With the growing need for specialised care, after completing this course which has a physiotherapy specialisation, you could find a role as a physiotherapy assistant (PTA) or you could be employed as an allied health assistant (AHA), supporting rehabilitation and therapy programs under the guidance of a qualified physiotherapist. You may find employment in both public and private health settings such as hospitals and community rehabilitation, aged care facilities, private practices and not for profit organisations. You will learn how to work with children, adults and older people with a range of physical disabilities, all done with the knowledge of safe work practices, legal and ethical considerations and current industry standards. You will gain the required knowledge and skills through classroom discussions, simulation activities and workplace learning. Then you will undertake six weeks of full-time placement which North Metropolitan TAFE organises for you via our range of industry partners. Online learning makes up a small part of the course delivery but you will also have access to online resources to reinforce classroom learning. You will have access to a team of allied health professionals who are able to share their experiences and support your learning throughout the course. Some students have gone on to study allied health degrees at university after this course has ignited their passion. I have the following attributes:",Therapy Assistant,Australia,no,yes,no,yes,no,Normal,no,
DIP,North Metropolitan TAFE,Mount Lawley,HLT57915 Diploma of Anaesthetic Technology,Computer Science & Information Technology,,,AUD,year,2,Years,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/diploma-anaesthetic-technology,English,D,"This qualification will equip you to work alongside an anaesthetist undertaking the work tasks required of an anaesthetic technician. This includes preparing patients for anaesthesia and then monitoring them during and after surgery. You are likely to be exposed to a wide range of surgeries with differing needs as well as to unexpected occurrences and allergic reactions requiring you to respond quickly.  The Diploma course is a very practical, hands-on course, delivered in a face to face classroom format as well as in the simulated anaesthetic technology laboratory. The course is delivered over 2 years and includes a full time clinical placement in a hospital or clinic, organised by North Metropolitan TAFE.
	This course will next be offered in semester 2, 2021. I have the following attributes:",Anaesthetic Technician,Australia,no,yes,no,yes,no,Normal,no,
DIP,North Metropolitan TAFE,Mount Lawley,HLT57915 Diploma of Anaesthetic Technology,Computer Science & Information Technology,,,AUD,year,2,Years,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/diploma-anaesthetic-technology,English,D,"This qualification will equip you to work alongside an anaesthetist undertaking the work tasks required of an anaesthetic technician. This includes preparing patients for anaesthesia and then monitoring them during and after surgery. You are likely to be exposed to a wide range of surgeries with differing needs as well as to unexpected occurrences and allergic reactions requiring you to respond quickly.  The Diploma course is a very practical, hands-on course, delivered in a face to face classroom format as well as in the simulated anaesthetic technology laboratory. The course is delivered over 2 years and includes a full time clinical placement in a hospital or clinic, organised by North Metropolitan TAFE.
	This course will next be offered in semester 2, 2021. I have the following attributes:",Anaesthetic Technician,Australia,no,yes,no,yes,no,Normal,no,
PG,North Metropolitan TAFE,Perth,MST50119 Diploma of Applied Fashion Design and Merchandising,"Architecture, Building & Planning",,"15,565",AUD,year,1,Year,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/diploma-applied-fashion-design-and-merchandising-1,English,D,"Learn to design in the creative and cultural heart of the city. North Metro TAFE’s well established fashion department offers a stimulating design space that combines creativity with the underpinning practical skills necessary for success in an exciting and challenging industry. The Diploma of Applied Fashion Design and Merchandising begins with the necessary skills for a career in fashion design, such as sewing, pattern cutting, screen printing, digital design skills and fashion drawing. You will learn in simulated workplace design studios where original design interpretations, lateral thinking and extensive research are encouraged. During this course you'll be given the opportunity to get involved in our creative community by participating in collaborations across various learning areas such as product design, jewellery design, graphic design and visual art; and gain real industry experience through our work placement programs. On completion you’ll have an impressive skill set preparing you for further study or work in the real world.  This course is only offered in semester one of each year. I have the following attributes:",To explore job profiles,Australia,no,yes,no,yes,no,Normal,no,
PG,North Metropolitan TAFE,Perth,MST50119 Diploma of Applied Fashion Design and Merchandising,"Architecture, Building & Planning",,"15,565",AUD,year,1,Year,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/diploma-applied-fashion-design-and-merchandising-1,English,D,"Learn to design in the creative and cultural heart of the city. North Metro TAFE’s well established fashion department offers a stimulating design space that combines creativity with the underpinning practical skills necessary for success in an exciting and challenging industry. The Diploma of Applied Fashion Design and Merchandising begins with the necessary skills for a career in fashion design, such as sewing, pattern cutting, screen printing, digital design skills and fashion drawing. You will learn in simulated workplace design studios where original design interpretations, lateral thinking and extensive research are encouraged. During this course you'll be given the opportunity to get involved in our creative community by participating in collaborations across various learning areas such as product design, jewellery design, graphic design and visual art; and gain real industry experience through our work placement programs. On completion you’ll have an impressive skill set preparing you for further study or work in the real world.  This course is only offered in semester one of each year. I have the following attributes:",To explore job profiles,Australia,no,yes,no,yes,no,Normal,no,
PG,North Metropolitan TAFE,Perth,MST60119 Advanced Diploma of Applied Fashion Design and Merchandising,"Architecture, Building & Planning",,"8,838",AUD,year,1,Year,yes,yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent,Completion of WACE General or ATAR or equivalent (minimum C Grades),,C Grades,C Grades,,https://www.northmetrotafe.wa.edu.au/courses/advanced-diploma-applied-fashion-design-and-merchandising-1,English,D,"North Metropolitan TAFE’s well established fashion department offers a stimulating design space that combines creativity with the underpinning practical skills necessary for success in an exciting and challenging industry. The Advanced Diploma builds on the skills you've gained from the Diploma of Applied Fashion Design and Merchandising.  You will learn in simulated workplace design studios where original design interpretations, lateral thinking and extensive research are encouraged. During this course you'll be given the opportunity to get involved in our creative community by participating in collaborations across various learning areas such as product design, jewellery design, graphic design and visual art; and gain real industry experience through our work placement programs. On completion you’ll have an impressive skill set preparing you for further study or work in the real world.  Please note: the Diploma of Applied Fashion Design and Merchandising  contains pre-requisite units for this Advanced Diploma course, it is therefore strongly recommended that you have completed the Diploma of Applied Fashion and Merchandising (or equivalent) before applying for this course. This course is only offered in semester one of each year. I have the following attributes:",To explore job profiles,Australia,no,yes,no,yes,no,Normal,no,
